Sample Number;X;Y;NI
338;814393.00;1222399.00;50.00
339;814412.00;1222219.00;100.00
340;813380.00;1220224.00;30.00
341;813450.00;1220224.00;70.00
342;813833.00;1219021.00;100.00
343;814311.00;1217018.00;50.00
344;806574.00;1231068.00;300.00
345;806249.00;1231870.00;100.00
346;807139.00;1231855.00;200.00
347;799903.00;1234535.00;50.00
348;799844.00;1234565.00;70.00
349;800579.00;1235406.00;100.00
350;800618.00;1235306.00;70.00
351;801484.00;1235335.00;10.00
352;801590.00;1235610.00;70.00
353;802510.00;1235524.00;70.00
354;802898.00;1239993.00;15.00
355;803075.00;1239512.00;30.00
356;803650.00;1237858.00;15.00
357;802960.00;1237092.00;15.00
358;802498.00;1236794.00;50.00
359;805318.00;1230996.00;70.00
360;803800.00;1230505.00;50.00
361;803919.00;1230384.00;50.00
362;804814.00;1232859.00;15.00
363;803345.00;1233788.00;15.00
364;802849.00;1234502.00;10.00
365;810035.00;1221145.00;30.00
366;811127.00;1221498.00;20.00
367;811172.00;1222238.00;30.00
368;811142.00;1222258.00;30.00
369;811146.00;1223038.00;20.00
370;811279.00;1223558.00;20.00
371;808319.00;1225256.00;30.00
372;809433.00;1225799.00;100.00
373;809413.00;1225850.00;30.00
374;809756.00;1226408.00;50.00
375;797062.00;1217862.00;70.00
376;796960.00;1217582.00;100.00
377;795629.00;1217440.00;100.00
378;795255.00;1216842.00;100.00
379;795101.00;1216133.00;50.00
380;795215.00;1216017.00;100.00
381;794946.00;1215454.00;150.00
382;794926.00;1215414.00;70.00
383;794501.00;1214636.00;150.00
384;794482.00;1214786.00;150.00
385;793940.00;1214454.00;150.00
386;793640.00;1214456.00;70.00
387;793690.00;1214461.00;150.00
388;793218.00;1214193.00;150.00
389;793138.00;1214144.00;30.00
390;793236.00;1213858.00;150.00
391;793134.00;1213449.00;30.00
392;793054.00;1213544.00;100.00
393;792732.00;1213246.00;100.00
394;792479.00;1212647.00;70.00
395;792360.00;1212848.00;150.00
396;792217.00;1214950.00;100.00
397;792047.00;1212350.00;70.00
398;790623.00;1211858.00;10.00
399;790743.00;1211832.00;70.00
400;793728.00;1209039.00;100.00
401;793557.00;1208890.00;70.00
402;795211.00;1209480.00;50.00
403;795210.00;1209330.00;150.00
404;796213.00;1209724.00;150.00
405;796211.00;1209469.00;70.00
406;796728.00;1210531.00;150.00
407;796817.00;1210371.00;70.00
408;797270.00;1210848.00;30.00
409;798008.00;1212129.00;100.00
410;799685.00;1213255.00;50.00
411;799703.00;1213004.00;20.00
412;800256.00;1213376.00;50.00
413;800588.00;1213799.00;100.00
414;801018.00;1214522.00;100.00
415;801546.00;1214994.00;70.00
416;801799.00;1215523.00;100.00
417;801769.00;1215543.00;50.00
418;802655.00;1216508.00;100.00
419;818882.00;1210410.00;10.00
420;819267.00;1221309.00;100.00
421;819060.00;1220975.00;15.00
422;818703.00;1220543.00;10.00
423;818840.00;1204889.00;100.00
424;818167.00;1204453.00;20.00
425;818493.00;1205432.00;30.00
426;820217.00;1206051.00;20.00
427;820236.00;1205966.00;10.00
428;820406.00;1207681.00;5.00
429;820229.00;1208117.00;10.00
430;824467.00;1206907.00;15.00
431;822793.00;1213867.00;200.00
432;822923.00;1213766.00;15.00
433;820940.00;1213328.00;30.00
434;820235.00;1212582.00;15.00
435;819494.00;1212347.00;50.00
436;819536.00;1212736.00;50.00
437;821274.00;1215761.00;30.00
438;821362.00;1217036.00;50.00
439;819378.00;1216388.00;50.00
440;819407.00;1216268.00;20.00
441;818218.00;1215655.00;20.00
442;820815.00;1213289.00;70.00
443;823637.00;1212862.00;20.00
444;823788.00;1212961.00;30.00
445;821921.00;1210222.00;15.00
446;818771.00;1210191.00;20.00
447;816586.00;1211154.00;20.00
448;822358.00;1207919.00;10.00
449;822353.00;1207989.00;5.00
450;824064.00;1208924.00;5.00
451;824095.00;1209049.00;30.00
452;819270.00;1201586.00;10.00
453;818593.00;1201990.00;30.00
454;818653.00;1202060.00;20.00
455;822163.00;1204470.00;20.00
456;820122.00;1203582.00;100.00
457;820201.00;1205051.00;100.00
458;820392.00;1205280.00;30.00
459;820092.00;1200156.00;5.00
460;818098.00;1202994.00;70.00
461;818167.00;1217995.00;20.00
463;822167.00;1204390.00;15.00
464;821639.00;1203023.00;200.00
465;823195.00;1202294.00;7.00
468;730670.00;1236760.00;30.00
469;731131.00;1236770.00;5.00
470;730860.00;1236710.00;3.00
471;731794.00;1235610.00;3.00
472;731695.00;1235730.00;5.00
477;731245.00;1235830.00;5.00
503;732131.00;1235000.00;10.00
504;732567.00;1235970.00;15.00
505;732508.00;1236040.00;15.00
506;732638.00;1236130.00;10.00
507;732941.00;1236490.00;10.00
508;733040.00;1236430.00;10.00
509;733140.00;1236390.00;10.00
510;733150.00;1236400.00;10.00
511;733275.00;1236320.00;15.00
512;733280.00;1236300.00;15.00
513;733280.00;1236280.00;10.00
514;733300.00;1236290.00;15.00
515;733360.00;1236250.00;15.00
516;733370.00;1236260.00;15.00
517;730026.00;1231260.00;3.00
518;730146.00;1231150.00;3.00
519;730146.00;1231130.00;3.00
520;730204.00;1230900.00;3.00
521;730204.00;1230930.00;3.00
522;730285.00;1230980.00;3.00
523;730295.00;1230970.00;3.00
524;730384.00;1230910.00;3.00
525;730405.00;1230920.00;5.00
526;730475.00;1230950.00;5.00
527;730475.00;1230930.00;3.00
528;730524.00;1230900.00;3.00
529;730535.00;1230925.00;5.00
537;767565.00;1236700.00;150.00
538;768016.00;1236750.00;70.00
539;768115.00;1236650.00;30.00
540;768114.00;1236500.00;50.00
541;768464.00;1236500.00;50.00
542;768463.00;1236250.00;70.00
543;764846.00;1233850.00;50.00
544;764995.00;1233600.00;50.00
545;764895.00;1233600.00;30.00
546;764745.00;1233650.00;30.00
547;764845.00;1233700.00;50.00
548;766003.00;1234800.00;100.00
549;766054.00;1234950.00;100.00
550;766055.00;1235200.00;100.00
551;765489.00;1232650.00;150.00
552;765487.00;1232300.00;50.00
553;765537.00;1232300.00;100.00
554;765737.00;1232250.00;50.00
555;765986.00;1232100.00;50.00
556;766035.00;1231900.00;70.00
557;766433.00;1231550.00;50.00
558;766481.00;1231250.00;70.00
559;766333.00;1231600.00;100.00
560;758260.00;1236750.00;50.00
561;758261.00;1236800.00;70.00
562;758359.00;1236500.00;30.00
